ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
27.05714286,27,0.4,0,1.129598319,0.984580536,0.188139918,-2.326347874,538.3185826,-2.053748911,592.5798521,-1.880793608,626.6719131,-1.281551566,743.0376313,-0.67448975,858.5521304,0,984.5805356,0.67448975,1108.545803,1.281551566,1218.593806,1.644853627,1283.834259,1.880793608,1325.973088,2.053748911,1356.752672,2.326347874,1405.08289
27.08571429,27,0.6,0,1.128211204,0.987730854,0.188228004,-2.326347874,539.995902,-2.053748911,594.4150248,-1.880793608,628.6098909,-1.281551566,745.3451519,-0.67448975,861.251284,0,987.7308544,0.67448975,1112.160946,1.281551566,1222.637022,1.644853627,1288.137494,1.880793608,1330.446588,2.053748911,1361.351646,2.326347874,1409.880712
27.11428571,27,0.8,0,1.12682409,0.990883922,0.188315177,-2.326347874,541.6768744,-2.053748911,596.2535876,-1.880793608,630.551117,-1.281551566,747.6555673,-0.67448975,863.953169,0,990.8839225,0.67448975,1115.77904,1.281551566,1226.683509,1.644853627,1292.444249,1.880793608,1334.923791,2.053748911,1365.954469,2.326347874,1414.68263
27.14285714,27,1,0,1.125436975,0.994040022,0.188401438,-2.326347874,543.3616715,-2.053748911,598.0957262,-1.880793608,632.4957857,-1.281551566,749.9691007,-0.67448975,866.6580367,0,994.0400216,0.67448975,1119.400396,1.281551566,1230.733607,1.644853627,1296.754879,1.880793608,1339.405064,2.053748911,1370.561514,2.326347874,1419.489027
27.17142857,27,1.2,1,1.12404986,0.997199431,0.188486785,-2.326347874,545.0504641,-2.053748911,599.9416248,-1.880793608,634.4440898,-1.281551566,752.2859731,-0.67448975,869.366136,0,997.1994307,0.67448975,1123.025323,1.281551566,1234.787649,1.644853627,1301.069736,1.880793608,1343.890768,2.053748911,1375.173151,2.326347874,1424.300285
27.2,27,1.4,1,1.122662745,1.000362425,0.188571218,-2.326347874,546.7434212,-2.053748911,601.7914661,-1.880793608,636.3962202,-1.281551566,754.6064035,-0.67448975,872.077713,0,1000.362425,0.67448975,1126.654127,1.281551566,1238.845968,1.644853627,1305.389167,1.880793608,1348.38126,2.053748911,1379.789742,2.326347874,1429.11678
27.22857143,27,1.6,1,1.12127563,1.003529278,0.188654736,-2.326347874,548.4407104,-2.053748911,603.645431,-1.880793608,638.352366,-1.281551566,756.9306084,-0.67448975,874.793011,0,1003.529278,0.67448975,1130.287108,1.281551566,1242.908891,1.644853627,1309.713513,1.880793608,1352.876892,2.053748911,1384.411649,2.326347874,1433.938883
27.25714286,27,1.8,1,1.119888515,1.006700259,0.188737339,-2.326347874,550.1424982,-2.053748911,605.5036988,-1.880793608,640.3127147,-1.281551566,759.2588023,-0.67448975,877.512271,0,1006.700259,0.67448975,1133.924564,1.281551566,1246.97674,1.644853627,1314.043114,1.880793608,1357.378013,2.053748911,1389.039228,2.326347874,1438.766963
27.28571429,27,2,2,1.118501401,1.009875635,0.188819025,-2.326347874,551.8489494,-2.053748911,607.3664473,-1.880793608,642.277452,-1.281551566,761.5911973,-0.67448975,880.2357312,0,1009.875635,0.67448975,1137.566791,1.281551566,1251.049837,1.644853627,1318.378304,1.880793608,1361.884967,2.053748911,1393.672829,2.326347874,1443.601381
27.31428571,27,2.2,2,1.117114286,1.013055668,0.188899793,-2.326347874,553.5602277,-2.053748911,609.2338527,-1.880793608,644.2467617,-1.281551566,763.9280037,-0.67448975,882.9636272,0,1013.055668,0.67448975,1141.214079,1.281551566,1255.128495,1.644853627,1322.719414,1.880793608,1366.398096,2.053748911,1398.312801,2.326347874,1448.442497
27.34285714,27,2.4,2,1.115727171,1.01624062,0.188979643,-2.326347874,555.2764951,-2.053748911,611.1060895,-1.880793608,646.220826,-1.281551566,766.2694292,-0.67448975,885.6961921,0,1016.24062,0.67448975,1144.866716,1.281551566,1259.213028,1.644853627,1327.066771,1.880793608,1370.917734,2.053748911,1402.959486,2.326347874,1453.290665
27.37142857,27,2.6,2,1.114340056,1.019430747,0.189058572,-2.326347874,556.9979124,-2.053748911,612.9833307,-1.880793608,648.1998256,-1.281551566,768.6156796,-0.67448975,888.4336564,0,1019.430747,0.67448975,1148.524985,1.281551566,1263.303744,1.644853627,1331.420696,1.880793608,1375.444214,2.053748911,1407.613223,2.326347874,1458.146233
27.4,27,2.8,2,1.112952941,1.022626305,0.18913658,-2.326347874,558.7246392,-2.053748911,614.8657476,-1.880793608,650.1839391,-1.281551566,770.9669586,-0.67448975,891.1762479,0,1022.626305,0.67448975,1152.189168,1.281551566,1267.400946,1.644853627,1335.781509,1.880793608,1379.977863,2.053748911,1412.274346,2.326347874,1463.009548
27.42857143,27,3,3,1.111565826,1.025827544,0.189213664,-2.326347874,560.4568336,-2.053748911,616.7535101,-1.880793608,652.1733437,-1.281551566,773.3234675,-0.67448975,893.924192,0,1025.827544,0.67448975,1155.859542,1.281551566,1271.504936,1.644853627,1340.149524,1.880793608,1384.519005,2.053748911,1416.943187,2.326347874,1467.88095
27.45714286,27,3.2,3,1.110178711,1.029034712,0.189289824,-2.326347874,562.1946522,-2.053748911,618.6467866,-1.880793608,654.1682147,-1.281551566,775.6854056,-0.67448975,896.6777114,0,1029.034712,0.67448975,1159.53638,1.281551566,1275.616009,1.644853627,1344.525051,1.880793608,1389.067959,2.053748911,1421.620069,2.326347874,1472.760776
27.48571429,27,3.4,3,1.108791597,1.032248057,0.189365057,-2.326347874,563.9382504,-2.053748911,620.5457436,-1.880793608,656.168726,-1.281551566,778.0529703,-0.67448975,899.4370264,0,1032.248057,0.67448975,1163.219953,1.281551566,1279.73446,1.644853627,1348.908397,1.880793608,1393.625041,2.053748911,1426.305317,2.326347874,1477.649356
27.51428571,27,3.6,3,1.107404482,1.035467818,0.189439362,-2.326347874,565.6877825,-2.053748911,622.4505463,-1.880793608,658.1750494,-1.281551566,780.4263565,-0.67448975,902.2023546,0,1035.467818,0.67448975,1166.910528,1.281551566,1283.860576,1.644853627,1353.299864,1.880793608,1398.190562,2.053748911,1430.999246,2.326347874,1482.54702
27.54285714,27,3.8,3,1.106017367,1.038694237,0.189512736,-2.326347874,567.4434011,-2.053748911,624.3613586,-1.880793608,660.1873555,-1.281551566,782.8057573,-0.67448975,904.9739112,0,1038.694237,0.67448975,1170.608369,1.281551566,1287.994644,1.644853627,1357.699751,1.880793608,1402.764828,2.053748911,1435.702171,2.326347874,1487.45409
27.57142857,27,4,3,1.104630252,1.04192755,0.189585177,-2.326347874,569.2052577,-2.053748911,626.2783423,-1.880793608,662.2058129,-1.281551566,785.1913634,-0.67448975,907.7519089,0,1041.92755,0.67448975,1174.313734,1.281551566,1292.136945,1.644853627,1362.108352,1.880793608,1407.348142,2.053748911,1440.4144,2.326347874,1492.370885
27.6,27,4.2,4,1.103243137,1.045167989,0.189656685,-2.326347874,570.9735024,-2.053748911,628.2016582,-1.880793608,664.2305886,-1.281551566,787.5833639,-0.67448975,910.5365579,0,1045.167989,0.67448975,1178.026883,1.281551566,1296.287756,1.644853627,1366.525957,1.880793608,1411.940804,2.053748911,1445.136237,2.326347874,1497.297719
27.62857143,27,4.4,4,1.101856022,1.048415786,0.189727255,-2.326347874,572.748284,-2.053748911,630.1314653,-1.880793608,666.2618482,-1.281551566,789.9819452,-0.67448975,913.3280657,0,1048.415786,0.67448975,1181.748067,1.281551566,1300.447352,1.644853627,1370.952853,1.880793608,1416.543108,2.053748911,1449.867985,2.326347874,1502.234903
27.65714286,27,4.6,4,1.100468908,1.051671168,0.189796886,-2.326347874,574.5297502,-2.053748911,632.0679213,-1.880793608,668.2997555,-1.281551566,792.3872923,-0.67448975,916.1266375,0,1051.671168,0.67448975,1185.477536,1.281551566,1304.616003,1.644853627,1375.389323,1.880793608,1421.155344,2.053748911,1454.609938,2.326347874,1507.182743
27.68571429,27,4.8,4,1.099081793,1.054934361,0.189865576,-2.326347874,576.318047,-2.053748911,634.0111822,-1.880793608,670.3444725,-1.281551566,794.7995875,-0.67448975,918.932476,0,1054.934361,0.67448975,1189.215538,1.281551566,1308.793976,1.644853627,1379.835645,1.880793608,1425.777799,2.053748911,1459.36239,2.326347874,1512.141538
27.71428571,27,5,5,1.097694678,1.058205584,0.189933322,-2.326347874,578.1133197,-2.053748911,635.9614026,-1.880793608,672.3961599,-1.281551566,797.2190115,-0.67448975,921.7457815,0,1058.205584,0.67448975,1192.962316,1.281551566,1312.981534,1.644853627,1384.292094,1.880793608,1430.410755,2.053748911,1464.125629,2.326347874,1517.111588
27.74285714,27,5.2,5,1.096307563,1.061485059,0.190000121,-2.326347874,579.9157117,-2.053748911,637.9187356,-1.880793608,674.4549767,-1.281551566,799.6457428,-0.67448975,924.5667517,0,1061.485059,0.67448975,1196.71811,1.281551566,1317.178935,1.644853627,1388.75894,1.880793608,1435.05449,2.053748911,1468.899937,2.326347874,1522.093184
