ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
26.8,26,5.6,5,1.065564706,1.013609259,0.173111266,-2.326347874,598.9555046,-2.053748911,648.3361529,-1.880793608,679.5379301,-1.281551566,786.9472342,-0.67448975,894.7840991,0,1013.609259,0.67448975,1131.525815,1.281551566,1236.96628,1.644853627,1299.783973,1.880793608,1340.472806,2.053748911,1370.248171,2.326347874,1417.092222
26.82857143,26,5.8,5,1.06495042,1.01691683,0.173205187,-2.326347874,600.7421963,-2.053748911,650.2968974,-1.880793608,681.609793,-1.281551566,789.4077709,-0.67448975,897.6434634,0,1016.91683,0.67448975,1135.28619,1.281551566,1241.137631,1.644853627,1304.202681,1.880793608,1345.052681,2.053748911,1374.94644,2.326347874,1421.977514
26.85714286,26,6,6,1.064336134,1.020230505,0.173298286,-2.326347874,602.5335358,-2.053748911,652.2623987,-1.880793608,683.686492,-1.281551566,791.8734721,-0.67448975,900.508401,0,1020.230505,0.67448975,1139.053271,1.281551566,1245.316281,1.644853627,1308.629066,1.880793608,1349.640486,2.053748911,1379.652831,2.326347874,1426.871232
26.88571429,26,6.2,6,1.063721849,1.023550188,0.173390592,-2.326347874,604.3294158,-2.053748911,654.2325509,-1.880793608,685.7679218,-1.281551566,794.344236,-0.67448975,903.3788127,0,1023.550188,0.67448975,1142.826965,1.281551566,1249.502141,1.644853627,1313.06304,1.880793608,1354.236136,2.053748911,1384.367256,2.326347874,1431.773293
26.91428571,26,6.4,6,1.063107563,1.026875794,0.173482129,-2.326347874,606.1297371,-2.053748911,656.2072566,-1.880793608,687.8539863,-1.281551566,796.8199697,-0.67448975,906.2546094,0,1026.875794,0.67448975,1146.607189,1.281551566,1253.695133,1.644853627,1317.504527,1.880793608,1358.839555,2.053748911,1389.089642,2.326347874,1436.683623
26.94285714,26,6.6,6,1.062493277,1.030207248,0.173572924,-2.326347874,607.9344085,-2.053748911,658.1864266,-1.880793608,689.9445976,-1.281551566,799.3005897,-0.67448975,909.1357117,0,1030.207248,0.67448975,1150.393874,1.281551566,1257.89519,1.644853627,1321.953464,1.880793608,1363.450681,2.053748911,1393.819928,2.326347874,1441.602164
26.97142857,26,6.8,6,1.061878992,1.033544484,0.173663,-2.326347874,609.7433458,-2.053748911,660.169979,-1.880793608,692.0396751,-1.281551566,801.7860202,-0.67448975,912.0220483,0,1033.544484,0.67448975,1154.186958,1.281551566,1262.102256,1.644853627,1326.409797,1.880793608,1368.069463,2.053748911,1398.558064,2.326347874,1446.528869
27,27,0,0,1.061264706,1.036887447,0.17375238,-2.326347874,611.5564732,-2.053748911,662.1578405,-1.880793608,694.1391472,-1.281551566,804.276195,-0.67448975,914.9135587,0,1036.887447,0.67448975,1157.986394,1.281551566,1266.316288,1.644853627,1330.873487,1.880793608,1372.695862,2.053748911,1403.304014,2.326347874,1451.463702
27.02857143,27,0.2,0,1.06065042,1.04023609,0.173841087,-2.326347874,613.3737209,-2.053748911,664.1499442,-1.880793608,696.2429486,-1.281551566,806.7710547,-0.67448975,917.8101892,0,1040.23609,0.67448975,1161.79214,1.281551566,1270.537251,1.644853627,1335.3445,1.880793608,1377.32985,2.053748911,1408.05775,2.326347874,1456.406639
27.05714286,27,0.4,0,1.060036134,1.043590376,0.173929141,-2.326347874,615.1950273,-2.053748911,666.1462314,-1.880793608,698.3510227,-1.281551566,809.2705491,-0.67448975,920.711896,0,1043.590376,0.67448975,1165.604166,1.281551566,1274.765122,1.644853627,1339.822819,1.880793608,1381.97141,2.053748911,1412.819257,2.326347874,1461.357668
